#Gene	AJ	B6	Axb1	Axb2	Axb4	Axb12	AXB13	Axb15	Axb19	Axb23	Axb24	Bxa1	Bxa2	Bxa4	Bxa7	Bxa8	Bxa12	Bxa11	Bxa13	Bxa15	Bxa16	Axb5	Axb6	Axb8	Axb1	Bxa24	Bxa25	Bxa26	gene_symbol	gene_desc
108069	0	0	0.09	0	0	0	0	0	0	0	NA	NA	0	0.02	0.02	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm3	glutamate receptor, metabotropic 3
108071	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm5	glutamate receptor, metabotropic 5,glutamate receptor, metabotropic 5,
108072	0	0	0	0	0	0	0.07	0	0	0	NA	NA	0	0	0.04	0	0	0.01	0	0	0	0	0	0	NA	0	NA	NA	Grm6	glutamate receptor, metabotropic 6,glutamate receptor, metabotropic 6,
108073	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Grm7	glutamate receptor, metabotropic 7
108075	0	0	0.14	0	0	0.03	0	0.03	0.02	0	NA	NA	0	0.01	0	0	0.03	0	0.07	0.06	0.02	0.01	0	0	NA	0	NA	NA	Ltbp4	latent transforming growth factor beta binding,latent transforming growth factor beta binding,latent transforming growth factor beta binding,
108078	0.11	0	0	0.05	0.06	0	0.04	0.02	0.03	0.11	NA	NA	0	0.03	0.05	0	0	0.04	0	0	0	0.01	0	0.19	NA	0.18	NA	NA	Olr1	oxidized low density lipoprotein (lectin-like)
108079	0	0.02	0	0.03	0	0.05	0	0.04	0.02	0	NA	NA	0.02	0.01	0.05	0	0.02	0.01	0.02	0	0	0.1	0.03	0	NA	0	NA	NA	Prkaa2	AMP-activated protein kinase alpha 2 catalytic
108089	0.2	0.15	0.11	0.12	0.16	0.22	0.26	0.36	0.11	0.14	NA	NA	0.3	0.2	0.16	0.07	0.28	0.18	0.13	0.12	0.24	0.39	0.21	0.13	NA	0.06	NA	NA	Rnf144a	ring finger protein 144
108096	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Slco1a5	solute carrier organic anion transporter family,,solute carrier organic anion transporter family,,
108097	0.47	1.13	0.59	0.71	1.32	0.92	0.8	1.08	1.4	1.53	NA	NA	0.96	1.16	1.11	0.58	1.03	0.69	1.14	1.05	0.61	1.05	1.09	0.96	NA	0.53	NA	NA	Prkab2	AMP-activated protein kinase beta 2
108105	0	0	0	0.03	0.05	0	0	0.07	0	0.03	NA	NA	0.04	0.01	0	0	0.01	0	0.02	0.02	0	0.01	0.01	0.01	NA	0	NA	NA	B3gnt5	UDP-GlcNAc:betaGal,UDP-GlcNAc:betaGal,
108114	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Slc22a7	solute carrier family 22 member 7
108116	0.27	1.77	3.32	0.24	1.85	2.19	0.66	4.46	0.87	1.26	NA	NA	2.62	2.38	3.54	1.3	0.67	0.46	0.47	1.99	2.41	2.05	1.08	0.57	NA	0.21	NA	NA	Slco3a1	solute carrier organic anion transporter family,
108151	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Sema3d	semaphorin 3D,semaphorin 3D,semaphorin 3D,
108153	0.02	0	0	0	0	0	0	0	0	0.01	NA	NA	0	0.01	0.03	0	0.01	0	0	0	0.03	0	0.01	0	NA	0	NA	NA	Adamts7	a disintegrin-like and metalloprotease,a disintegrin-like and metalloprotease,
108154	0.3	0.03	0	0.02	0.23	0.02	0.11	0.11	0.12	0.05	NA	NA	0.03	0.09	0.05	0.01	0.1	0.02	0.02	0.06	0.23	0.01	0.03	0.05	NA	0	NA	NA	Adamts6	a disintegrin-like and metalloprotease
108653	0	0	0.09	0	0	0	0	0.04	0	0	NA	NA	0	0	0.01	0	0	0.02	0	0	0	0	0	0	NA	0	NA	NA	4933426K21Rik	hypothetical protein LOC108653,hypothetical protein LOC108653,
108654	4.52	4.41	3.99	4.31	2.7	3.76	3.05	4.2	3.57	4.2	NA	NA	5.1	3.89	3.32	2.43	4.32	3.64	3.68	4.61	3.94	3.69	5.46	3.73	NA	3.36	NA	NA	4933403F05Rik	hypothetical protein LOC108654
108672	0.24	0.18	0.83	0.23	0.03	0.2	0.33	0.48	0.32	0.16	NA	NA	0.42	0.22	0.31	0.26	0.32	0.26	0.26	0.27	0.38	0.52	0.31	0.21	NA	0.67	NA	NA	Zdhhc15	zinc finger, DHHC domain containing 15
108686	4.65	2.48	2.96	1.38	3.12	5.21	1.03	4.7	3.29	4.15	NA	NA	4.49	5	2.11	4.4	3.67	2.05	3.97	5.82	4.02	3.03	4.42	5.58	NA	1.13	NA	NA	Ccdc88a	coiled coil domain containing 88A
108699	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0.09	0	0.16	0.28	0	0	0	NA	0	NA	NA	Chn1	chimerin (chimaerin) 1 isoform 1,chimerin (chimaerin) 1 isoform 1,
108707	5.19	3.5	5.77	3.63	3.32	4.2	3	4.42	2.63	3.39	NA	NA	4.37	3.26	3.97	3.58	2.91	2.86	3.24	2.73	3.07	4.49	2.96	3.31	NA	4.12	NA	NA	1810008A18Rik	hypothetical protein LOC108707,hypothetical protein LOC108707,
108735	0.78	1.24	1.1	0.99	0.73	1	0.92	1.05	0.84	0.68	NA	NA	0.9	0.45	0.7	0.61	0.81	1.13	0.77	0.96	1.17	0.99	0.85	0.76	NA	1.06	NA	NA	Sft2d2	SFT2 domain containing 2
108755	0.35	0.87	0.72	0.94	2.11	0.27	1.77	0.55	0.92	0.99	NA	NA	0.43	1	0.43	0.59	0.7	1.41	0.99	0.83	0.57	0.52	0.77	0.71	NA	1.24	NA	NA	Lyrm2	LYR motif containing 2
108760	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0.01	0	0	0	0	0	0	NA	0	NA	NA	Galntl1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide,UDP-N-acetyl-alpha-D-galactosamine:polypeptide,UDP-N-acetyl-alpha-D-galactosamine:polypeptide,
108800	0.16	0.07	0	0.07	0.07	0.15	0.02	0.13	0.11	0.25	NA	NA	0.06	0.08	0.11	0.1	0.06	0.01	0.18	0.2	0.14	0.2	0.18	0.16	NA	0.04	NA	NA	Ston2	stonin 2
108802	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0.09	0	0	0	0	0	0	NA	0	NA	NA	Calr4	calreticulin 4,calreticulin 4,
108803	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	4933402P03Rik	hypothetical protein LOC108803
108811	2.95	2.81	2.1	0.65	0.75	2.53	3.43	3.45	2.89	1.84	NA	NA	3.2	1.58	1.63	3.37	2.06	2.01	1.07	1.77	2.09	2.05	1.37	1.67	NA	0.64	NA	NA	Ccdc122	coiled-coil domain containing 122
108812	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0.06	0	0	0	0	0	0	NA	0	NA	NA	Als2cr12	amyotrophic lateral sclerosis 2 (juvenile)
108816	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	n/a	n/a
108841	1.78	3.35	3.46	2.88	2	2.78	3.45	3.52	4.33	4	NA	NA	2.45	2.79	2.13	2.32	3.41	1.74	2.91	2.68	2.1	2.46	3.33	2.68	NA	4.45	NA	NA	Rdh13	retinol dehydrogenase 13 (all-trans and 9-cis),retinol dehydrogenase 13 (all-trans and 9-cis),
108853	2.64	2.39	0.69	1.77	4.85	3.01	3.39	2.2	2.73	2.5	NA	NA	3.12	3.57	2.87	2.77	3.08	3.34	3.98	3.12	4.07	2.7	2.8	2.98	NA	3.2	NA	NA	Mtrf1l	mitochondrial translational release factor
108897	0	0	0.18	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0.02	0	NA	0	NA	NA	2810003C17Rik	ionized calcium binding adapter molecule 2
108899	0.42	0.2	0.1	0.05	0.11	0.23	0.08	0.2	0.14	0.1	NA	NA	0.44	0.12	0.07	0.01	0.18	0.01	0.18	0.18	0.13	0.05	0.2	0.2	NA	0.19	NA	NA	2700081O15Rik	hypothetical protein LOC108899,hypothetical protein LOC108899,
108900	2.24	2.3	3.34	1.89	3.61	2.87	3.73	1.15	2.23	2.08	NA	NA	2.62	2.47	3.2	3.49	1.72	3.98	1.04	2.44	2.84	1.3	3.08	2.06	NA	3.62	NA	NA	2700049P18Rik	hypothetical protein LOC108900
108909	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	2610208M17Rik	axin interaction partner and dorsalization,axin interaction partner and dorsalization,axin interaction partner and dorsalization,
108927	0.15	0.26	0.02	0.33	0.4	0	0.42	0.37	0.04	0.22	NA	NA	0	0.21	0.79	0.18	0.2	0.24	0.19	0.08	0.16	0.12	0.08	0.05	NA	0	NA	NA	Lhfp	lipoma HMGIC fusion partner
108943	1.68	2.2	0.72	1.52	1.66	1.69	1.37	1.65	1.57	1.45	NA	NA	2.73	1.92	1.92	1.72	2.13	1.81	2.27	1.84	2.54	2.02	2.59	2.45	NA	1.75	NA	NA	Rg9mtd2	RNA (guanine-9-) methyltransferase domain,RNA (guanine-9-) methyltransferase domain,
108946	3.04	3.87	4.38	2.7	2.68	4.11	2.23	3.99	4.95	4.86	NA	NA	3.51	4.45	3.68	2.83	4.99	2.22	3.43	3.71	3.92	4.01	4.69	3.94	NA	2.2	NA	NA	Zzz3	zinc finger, ZZ domain containing 3
108954	0	0	0	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	NA	Ppp1r15b	protein phosphatase 1, regulatory subunit 15B
108956	0	0.03	0	0	0.26	0	0	1.28	0.02	0.2	NA	NA	0	0	0	0.38	0.09	0.16	0.44	0	0.44	0.27	0.06	0	NA	0	NA	NA	2210421G13Rik	hypothetical protein LOC108956
